address,isHostedBySuperhost,location/lat,location/lng,name,numberOfGuests,pricing/rate/amount,roomType,stars,City,State
"Mararikulam, Kerala, India",False,9.58429,76.3051,Flamingo lovely boutique villa 11 bed Luxury Space,16,1443,Entire home,4.75,"Mararikulam, Kerala",India
"Awas, Maharashtra, India",True,18.76034,72.88551,10 BHK Luxury Villa w Pool - Modern Cottage Style,16,1325,Entire villa,4.89,"Awas, Maharashtra",India
"Canacona, Goa, India",True,14.9939,74.0571,"6 BHK Villa W/pool,wifi- LuaCheia,canacona , Goa",13,1220,Entire villa,4.75,"Canacona, Goa",India
"Nainital, Uttarakhand, India",False,29.38514,79.45673,"Luxury Entire Heritage Villa, Wifi",16,842,Entire villa,4.75,"Nainital, Uttarakhand",India
"Pathau, Uttarakhand, India",False,30.1373,78.30656,A majestic luxurious villa overlooking the Ganges,8,913,Entire villa,4.75,"Pathau, Uttarakhand",India
"Anjuna, Goa, India",False,15.58917,73.75996,Azara Serenidad 5BHK Private Pool Villa in Anjuna,10,1185,Entire villa,4.75,"Anjuna, Goa",India
"Nathuwakhan, Uttarakhand, India",True,29.47118,79.58584,Homfortable Loshgyani Estate-Rustic forest retreat,12,1118,Farm stay,4.75,"Nathuwakhan, Uttarakhand",India
"Manali, Himachal Pradesh, India",True,32.29923,77.17704,Entire boutique stay with 8 rooms Khvaab Manali,16,962,Room in boutique hotel,4.75,"Manali, Himachal Pradesh",India
"Loutolim, Goa, India",False,15.33419,73.97759,Casa Susegad - Restored Indo-Portuguese Mansion,14,902,Entire villa,4.75,"Loutolim, Goa",India
"Candolim, Goa, India",False,15.51782,73.76411,8BHK(2X4) Super Luxurious @candolim,16,782,Entire serviced apartment,4.75,"Candolim, Goa",India
"Karjat, Maharashtra, India",False,18.91863,73.33386,Private Pool Villa with meals for 10+ guests.,16,962,Entire villa,4.75,"Karjat, Maharashtra",India
"Assagao, Goa, India",False,15.59765,73.77297,Assagao Bay: Luxury Villa by the Rose Nomad,8,842,Entire villa,4.75,"Assagao, Goa",India
"Panna, Madhya Pradesh, India",False,24.71172,80.17358,"Mohan Niwas Palace, A Heritage Homestay in Panna.",8,1443,Entire villa,4.75,"Panna, Madhya Pradesh",India
"Nashik, Maharashtra, India",False,20.07376,73.64485,Welcome to 16 Bedroom Gem hidden in Nature!,16,1082,Farm stay,4.75,"Nashik, Maharashtra",India
"Mumbai, Maharashtra, India",False,18.92245,72.83399,45 foot 3BR Yacht at Mumbai Harbour,8,1503,Boat,4.75,"Mumbai, Maharashtra",India
"Kullu, Himachal Pradesh, India",False,32.03766,77.14406,"Himalayan Kothi, Kais",2,1203,Room in boutique hotel,4.75,"Kullu, Himachal Pradesh",India
"Lonavla, Maharashtra, India",False,18.70197,73.45109,StayVista at 5 rooms @ Vyoman,10,1004,Private room in villa,4.75,"Lonavla, Maharashtra",India
"Lonavla, Maharashtra, India",False,18.77152,73.37963,PALACIO   LONAVALA,12,902,Entire villa,4.75,"Lonavla, Maharashtra",India
"Nerul, Goa, India",False,15.50637,73.79914,22BHK(5+5+6+6) PRIVATE POOL VILLA near CANDOLIM,16,1203,Entire villa,4.75,"Nerul, Goa",India
"SALIGAO, Goa, India",False,15.5554,73.78126,Woods Goa Bunglow,16,782,Entire bungalow,4.75,"Saligao, Goa",India
"Ribandar, Goa, India",False,15.504,73.866,Room at Ribandar Hill ..Value for money 01,2,1203,Shared room in guest suite,4.2,"Ribandar, Goa",India
"Arpora, Goa, India",False,15.54944,73.7637,"Paloma, Baale Resort Goa, Luxury 3 Bedroom Villa",8,1385,Private room in resort,4.75,"Arpora, Goa",India
"Arpora, Goa, India",False,15.54762,73.76425,"Koi, Baale Resort Goa, Luxury 4 Bedroom Villa",10,1529,Private room in resort,4.75,"Arpora, Goa",India
"Guirim, Goa, India",False,15.56865,73.8132,Super Luxury 4BHK Villa with Excellent Service,12,902,Entire villa,4.75,"Guirim, Goa",India
"New Delhi, Delhi, India",False,28.443,77.167,Farmhouse Gardens & Swimming Pool for film shoots,6,1503,Farm stay,4.75,"New Delhi, Delhi",India
"Udaipur, Rajasthan, India",False,24.49092,73.58379,Beautiful Cottage in the village of Bujera Udaipur,7,1263,Entire villa,4.75,"Udaipur, Rajasthan",India
"Panaji, Goa, India",False,15.504,73.866,BnB with Antique furniture in River view place 02,2,1097,Private room in villa,4.83,"Panaji, Goa",India
"New Delhi, Delhi, India",False,28.495,77.136,Brookwood Gardens Wedding Venue,16,1203,Farm stay,4.75,"New Delhi, Delhi",India
"Arpora, Goa, India",True,15.535,73.767,Stunning Luxury 16 bedroom Villa + Private Pool,16,1172,Entire villa,4.75,"Arpora, Goa",India
"Kumarakom, Kerala, India",False,9.58518,76.42182,"Lakeside 20 AC Rooms In Kumarakom, Kerala, India",16,788,Farm stay,4.75,"Kumarakom, Kerala",India
"Anjuna, Goa, India",False,15.57058,73.7415,Private Beach Touch Villa,4,902,Entire villa,4.75,"Anjuna, Goa",India
"New Delhi, Delhi, India",False,28.49204,77.13633,Brookwood Gardens Glasshouse Party Venue,16,962,Farm stay,4.75,"New Delhi, Delhi",India
"Panaji, Goa, India",False,15.49643,73.81885,A luxury heritage Goan Boutique villa in Panjim,15,1168,Private room in villa,4.75,"Panaji, Goa",India
"Calangute, Goa, India",False,15.54723,73.76524,6BHK Celebrity Ultra Luxury Villa at Baga,14,842,Entire villa,4.75,"Calangute, Goa",India
"Assonora, Goa, India",False,15.62133,73.89804,Valley Meadows Farm,16,1022,Room in boutique hotel,4.75,"Assonora, Goa",India
"New Delhi, Delhi, India",False,28.43832,77.18967,Farmhouse for wedding and pre-wedding function !!!,16,1203,Farm stay,4.75,"New Delhi, Delhi",India
"Gauravaddo, Calangute, Goa, India",True,15.535,73.767,Unique Breathtaking Luxury Villa with Party Room,10,888,Entire home,4.33,"Gauravaddo, Calangute, Goa",India
"Gurugram, Haryana, India",True,28.36638,77.00665,Farm resort (AC halls avb./16 rooms/40 ppl stay),16,1311,Farm stay,4.75,"Gurugram, Haryana",India
"New Delhi, Delhi, India",False,28.44808,77.18313,PRE-WEDDING @ EXQUISITE PRIVATE FARM,16,1203,Farm stay,4.75,"New Delhi, Delhi",India
"North Goa, Goa, India",False,15.55636,73.78057,8 Bedroom Luxury Private Pool Villa ! Breakfast,16,842,Entire villa,4.75,"North Goa, Goa",India
"Goa, India",True,15.535,73.767,"Escape to Paradise, Your Group Getaway 12-36 Pax",16,978,Entire villa,5.0,Unknown,Goa
"Abu Road, Rajasthan, India",False,24.53351,72.79282,ChaCha Villa,12,1082,Entire bungalow,4.75,"Abu Road, Rajasthan",India
"Panjim, Goa, India",False,15.49783,73.83033,9 Luxury Heritage Boutique stay in Fontainhas Goa,16,842,Room in heritage hotel,4.75,"Panjim, Goa",India
"Colovale, Goa, India",False,15.64852,73.81753,7 BedRoom Villa on the Chapora River in Colvale,10,962,Entire villa,4.6,"Colovale, Goa",India
"Kukas, Rajasthan, India",False,27.08777,75.88661,Natural Pearl Farms,8,842,Farm stay,4.75,"Kukas, Rajasthan",India
"Nandgaon, Maharashtra, India",False,18.77551,73.4101,ULTRA LUXURIOUS MANSION with Private Discotheque,16,902,Entire villa,4.75,"Nandgaon, Maharashtra",India
"Candolim, Goa, India",False,15.51716,73.76421,Ultimate 9 BHK Beach Villa on Candolim Beach,16,1153,Entire villa,4.75,"Candolim, Goa",India
"Barashiv, Maharashtra, India",False,18.48283,72.90424,6BHK Private Villa with Infinity pool and Sea view,16,1203,Entire villa,4.75,"Barashiv, Maharashtra",India
"Candolim, Goa, India",False,15.52253,73.76319,"Hamsa Villas, Candolim Beach, Goa (Casa Sea Vista)",12,1143,Entire villa,5.0,"Candolim, Goa",India
"Candolim, Goa, India",False,15.5164,73.76705,Luxurious Serviced 6BHK Villa on Candolim Beach,12,798,Entire home,4.8,"Candolim, Goa",India
"Mahabaleshwar, Maharashtra, India",False,17.92426,73.73543,StayVista at Cowboy Castle -7BR w/ Panoramic View,16,784,Entire villa,4.75,"Mahabaleshwar, Maharashtra",India
"Ambelim, Goa, India",False,15.17409,73.97429,Heritage-Portuguese Luxurious Villa in South Goa,16,902,Entire villa,4.75,"Ambelim, Goa",India
"Rishikesh, Uttarakhand, India",False,30.12978,78.3307,Shambhala by the ganges,12,1503,Entire villa,4.75,"Rishikesh, Uttarakhand",India
"Delhi, India",False,28.66944,77.20366,"Private Room  For LONG STAY  with attached bath,",2,1924,Private room in bed and breakfast,4.75,Unknown,Delhi
"Amritsar Cantt., Punjab, India",False,31.6253,74.8819,Walking Distance  to Golden Temple,2,36079,Room in hotel,3.75,"Amritsar Cantt., Punjab",India
"Lonavla, Maharashtra, India",False,18.70196,73.45204,StayVista at Vyoman,16,1481,Entire villa,4.75,"Lonavla, Maharashtra",India
"Calangute, Goa, India",False,15.5351,73.75755,Beachfront 6+1BDR Luxury Villa With Private Pool.,12,897,Entire home,4.78,"Calangute, Goa",India
"Vijayawada, Andhra Pradesh, India",False,16.47665,80.70571,Dwaraka Residency Quad Occupancy Room,4,3041,Room in hotel,4.75,"Vijayawada, Andhra Pradesh",India
"Moira, Goa, India",False,15.60049,73.83723,Birdsong Moira | A Unique Homestay Experience,15,962,Entire villa,4.75,"Moira, Goa",India
"Calangute Beach, Goa, India",True,15.54855,73.75427,"Art -inspired , Designer Calangute Beach Villa",16,782,Entire villa,4.75,"Calangute Beach, Goa",India
"Vijayawada, Andhra Pradesh, India",False,16.47685,80.70631,Dwaraka Residency Double Room Near Anjaneya Swamy Poranki Vijayawada,2,3033,Room in hotel,4.75,"Vijayawada, Andhra Pradesh",India
"Goa, India",True,15.31553,73.91299,Luxury Boutique Hotel.,16,880,Room in boutique hotel,4.94,Unknown,Goa
"Chennai, Tamil Nadu, India",False,12.94891,80.26171,"Vedantha@33-Beach Front Pool Villa.ECR
9884458888",16,893,Entire home,5.0,"Chennai, Tamil Nadu",India
"Sangolda, Goa, India",False,15.54477,73.80395,12 Bedroom Luxurious Heritage Villa with Pool.,16,1563,Entire bungalow,4.75,"Sangolda, Goa",India
"Lonavala, Maharashtra, India",False,18.76805,73.41268,Aashiyaana Villa Heritage Luxury Villa With Pool,15,1203,Entire villa,4.75,"Lonavala, Maharashtra",India
"Calangute, Goa, India",False,15.537,73.768,CALANGUTE 2BHK NO:8,8,3007,Entire rental unit,4.25,"Calangute, Goa",India
"Dehradun, Uttarakhand, India",False,30.31502,78.03482,"Hotel Doon's Pride, Dehradun-Superior Room",3,1581,Room in hotel,4.75,"Dehradun, Uttarakhand",India
"Dehradun, Uttarakhand, India",False,30.31512,78.03483,"Hotel Doon's Pride, Dehradun-Deluxe Room",3,1756,Room in hotel,4.75,"Dehradun, Uttarakhand",India
"Vijayawada, Andhra Pradesh, India",False,16.47528,80.70549,Dwaraka Residency Triple Room Near Anjaneya Swamy Poranki Vijayawada,3,3041,Room in hotel,4.75,"Vijayawada, Andhra Pradesh",India
"Vagator, Goa, India",False,15.60224,73.78022,Serene Voyage 5 bhk in Assagao,14,998,Entire home,4.64,"Vagator, Goa",India
"Nilgiris, Tamil Nadu, India",False,11.33,76.803,A glamorous 4 B/R Villa with gorgeous views+BBQ,10,993,Entire villa,4.75,"Nilgiris, Tamil Nadu",India
"Vagator, Goa, India",False,15.59941,73.7575,Villa Azul by Lohono Stays,10,940,Entire villa,4.75,"Vagator, Goa",India
"Mandrem, North Goa, Goa, India",False,15.66367,73.71241,Private Villa with Pool by the beach,16,902,Entire villa,3.83,"Mandrem, North Goa, Goa",India
"Mumbai, Maharashtra, India",False,18.92181,72.83607,54 foot 3BR Luxury Yacht Mumbai Harbour,10,1924,Boat,4.75,"Mumbai, Maharashtra",India
"Alibag, Maharashtra, India",False,18.64594,72.89102,coconut villa 3 bhk,12,1804,Entire villa,4.75,"Alibag, Maharashtra",India
"Manali, Himachal Pradesh, India",False,32.2409,77.18879,"Hamsa Villas, Manali",12,1744,Entire home,4.83,"Manali, Himachal Pradesh",India
"Calangute, Goa, India",False,15.53091,73.76345,"Hamsa Villas, Candolim Beach, Goa (Casa Sea Esta)",12,1082,Entire villa,4.75,"Calangute, Goa",India
"Ashapura, Nasirabad , India",False,26.29586,74.73548,Peeli Kothi is ideal 4 shooting with heritagelook,2,2405,Farm stay,4.75,"Ashapura, Nasirabad",India
"Mahagaon, India",False,18.697,73.506,Cherry Flower.,16,1546,Entire bungalow,4.53,Mahagaon,India
"Kihim, Maharashtra, India",True,18.73272,72.86783,14 room Luxury Beach Villa with two large Pools,16,1674,Entire villa,4.75,"Kihim, Maharashtra",India
"Kalwar, Rajasthan, India",False,26.98848,75.58298,"Bara Bungalow Kalwar, Jaipur (Entire Bungalow)",16,1082,Entire bungalow,4.75,"Kalwar, Rajasthan",India
"Alibaug, Maharashtra, India",False,18.65904,72.87707,StayVista at Casa Bella- Luxury Villa W/Sea View,16,842,Entire villa,4.0,"Alibaug, Maharashtra",India
"Ramgarh, Uttarakhand, India",False,29.42102,79.54799,Suite 2 (The Himalayan Living Whispering Oaks),3,4381,Room in hotel,4.75,"Ramgarh, Uttarakhand",India
"Janedghat, Himachal Pradesh, India",False,30.99192,77.20999,Premium Deluxe Room,3,4351,Room in hotel,4.75,"Janedghat, Himachal Pradesh",India
"Bujra, Rajasthan, India",False,24.561,73.637,8 rooms @Castle Oodeypore,16,962,Private room in castle,4.75,"Bujra, Rajasthan",India
"Ramgarh, Uttarakhand, India",False,29.42237,79.54729,Entire Suite Villa (The Himalayan Living Whispering Oaks),6,4381,Room in hotel,4.75,"Ramgarh, Uttarakhand",India
"New Delhi, Delhi, India",False,28.49698,77.13752,Destination Wedding Venue,16,4209,Farm stay,4.75,"New Delhi, Delhi",India
"Kolkata, West Bengal, India",False,22.516,88.351,The best place to stay in South Kolkata,4,6013,Entire condo,4.27,"Kolkata, West Bengal",India
"New Delhi, Delhi, India",False,28.575,77.232,Defence Colony A Block Apartment with elevator.,6,4209,Entire rental unit,4.91,"New Delhi, Delhi",India
"Pune, Maharashtra, India",False,18.52454,73.87851,"A cozy, centrally located Bed and Breakfast",2,4269,Private room in condo,4.8,"Pune, Maharashtra",India
"Kasol, Himachal Pradesh, India",False,32.00977,77.31291,Balcony With Mountain View Westros Kasol,3,4470,Room in hotel,4.75,"Kasol, Himachal Pradesh",India
"Patna, Bihar, India",False,25.59828,85.17635,HomesTel Non Ac Room,3,4418,Room in hotel,4.75,"Patna, Bihar",India
"New Delhi, Delhi, India",False,28.4963,77.15165,Olive Glasshouse ~ Private Party Venue,16,4209,Entire place,4.75,"New Delhi, Delhi",India
"Khoohdi, Rajasthan, India",False,26.61888,70.70844,Swiss Luxury Tent,4,4444,Room in hotel,4.75,"Khoohdi, Rajasthan",India
"New Delhi, Delhi, India",False,28.49611,77.15379,Olive 8 Glasshouse,16,3608,Farm stay,4.75,"New Delhi, Delhi",India
"Bengaluru, Karnataka, India",False,13.06573,77.4722,Aalaya by Happy Retreats - Weddings-Family Getaway,15,4209,Farm stay,4.75,"Bengaluru, Karnataka",India
"Govind Nagar, Andaman and Nicobar Islands, India",False,12.03632,92.99161,Gypsy Divers Dive Resort-Standard Room,3,5274,Room in hotel,4.75,"Govind Nagar, Andaman And Nicobar Islands",India
"Assagao, Goa, India",False,15.59992,73.77924,8 to 14 BR | Luxury | Single Key | Top Location,16,4209,Entire villa,4.75,"Assagao, Goa",India
"Alappuzha, Kerala, India",False,9.46949,76.38729,Spice Routes Houseboats - Cinnamon,6,698,Houseboat,4.75,"Alappuzha, Kerala",India
"Mumbai, Maharashtra, India",True,19.16242,72.7834,Bougainvilla.. The perfect Getaway in Paradise,8,601,Entire villa,4.96,"Mumbai, Maharashtra",India
"Baga, Goa, India",False,15.56965,73.75761,Celebration: 6BHK Luxury Villa - Pool/Jaccuzi/Bar,14,661,Entire villa,5.0,"Baga, Goa",India
"Dona Paula, Goa, India",False,15.45279,73.80111,TROPICAL VIBES 5BHK Luxury Beach House,14,660,Entire villa,4.62,"Dona Paula, Goa",India
"Marna, Goa, India",False,15.615,73.78,Private luxury 7BHK villa with swimming pool,16,598,Entire villa,4.8,"Marna, Goa",India
"Assagao, Goa, India",False,15.59117,73.77654,Luxurious 5BHK Villa With a Caretaker in Assagao,15,623,Entire villa,4.33,"Assagao, Goa",India
"Anjuna, Goa, India",False,15.5804,73.75759,Pura Vida I by Hireavilla-5BR w Pvt pool in Anjuna,15,771,Entire villa,4.88,"Anjuna, Goa",India
"Jaipur, Rajasthan, India",False,26.925,75.801,"Pool party, Function & Events @ Heritage Bungalow",16,567,Entire bungalow,4.75,"Jaipur, Rajasthan",India
"Lonavala, Maharashtra, India",False,18.67386,73.39413,Falcon Hill -Infinity pool views near Lion's point,15,624,Entire villa,5.0,"Lonavala, Maharashtra",India
"Alibag, Maharashtra, India",True,18.65748,72.87744,Frangipani by Hireavilla-5BR Lux Estate in Alibaug,15,701,Entire home,4.47,"Alibag, Maharashtra",India
"Manali, Himachal Pradesh, India",False,32.28484,77.17409,ChaletShanagManali- 4 BR Chalet,8,505,Entire chalet,4.5,"Manali, Himachal Pradesh",India
"Candolim, Goa, India",True,15.52543,73.78704,Cliffhouse by Hireavilla -5BR w Pvt pool in Saipem,15,546,Entire villa,4.89,"Candolim, Goa",India
"Brittona, Goa, India",True,15.52537,73.84675,"Lux 2 Villa's with 2 cooks, Private Pool & Car",16,754,Entire villa,4.67,"Brittona, Goa",India
"Zirad, Maharashtra, India",False,18.75593,72.8881,Bougainvillea: Beautiful 6BHK Villa by Limestays,16,773,Entire villa,4.75,"Zirad, Maharashtra",India
"Kune N.m., Maharashtra, India",False,18.75698,73.39004,StayVista La Palm 8BR w/Pool/Steam & Sauna Room,16,579,Entire villa,4.75,"Kune N.M., Maharashtra",India
"Jaipur, Rajasthan, India",False,26.92502,75.79783,StayVista at Krishnalaya Mansion Jaipur city home!,16,524,Entire villa,4.64,"Jaipur, Rajasthan",India
"Baga, Goa, India",False,15.56983,73.75897,Serenity: 6BHK  Luxury Villa Pool/Parking (Baga),14,601,Entire villa,4.78,"Baga, Goa",India
"Parra, Goa, India",False,15.57422,73.77815,"Deck-4 Bed-Infinity Private Pool,Arpora @North Goa",10,545,Entire villa,4.57,"Parra, Goa",India
"New Delhi, Delhi, India",False,28.4439,77.20693,Iraluxe,4,541,Farm stay,4.75,"New Delhi, Delhi",India
"Arambol, Goa, India",True,15.64017,73.71949,Exotic beachfront 6BR private pool Ashvem,16,518,Entire bungalow,4.75,"Arambol, Goa",India
"Lonavla, Maharashtra, India",True,18.76709,73.41391,Luxury 6Bhk Crescent Private Pool Villa Lonavala,15,523,Entire home,4.56,"Lonavla, Maharashtra",India
"Bhandar Gaon, Uttarakhand, India",False,30.40678,78.08064,Luxury Garden Villa Dehradun,11,527,Entire villa,4.7,"Bhandar Gaon, Uttarakhand",India
"Gurugram, Haryana, India",False,28.29159,76.93283,StayVista at The Banyan Abode w/ Pool Table & TT,16,574,Entire villa,4.57,"Gurugram, Haryana",India
"Anjuna, Goa, India",True,15.591741677638089,73.76814340922766,Rah - 5 BHK Luxury Villa by Vio Stays in Assagao,13,600,Entire home,4.75,"Anjuna, Goa",India
"Candolim, Goa, India",False,15.5166,73.76937,"Beutiful appartment near candolim beach, calangute",4,601,Entire rental unit,4.54,"Candolim, Goa",India
"Lonavla, Maharashtra, India",False,18.73924,73.43787,8BHK 60 ML Chalet (can accommodate 40 paxs*),16,519,Entire bungalow,5.0,"Lonavla, Maharashtra",India
"Puducherry, India",True,11.928,79.833,Villa Helena Heritage Guest House - Full Villa,16,589,Private room in bed and breakfast,4.75,Unknown,Puducherry
"Arpora, Goa, India",False,15.57131,73.75704,"Villa Arcadia 6BHK : Jacuzzi, Pool, Garden",14,644,Entire villa,4.75,"Arpora, Goa",India
"Candolim , GA, India",False,15.50387,73.77057,"Casa Pelo Mar, Goa",15,704,Entire villa,5.0,"Candolim , Ga",India
"Alibag, Maharashtra, India",False,18.73712,72.87669,"The Goan Pool Villa, Amidst Mother Nature, Alibag",12,498,Farm stay,4.13,"Alibag, Maharashtra",India
"Anjuna, Goa, India",False,15.5877,73.765,Serene Flores French Style Boutique Villa,12,553,Entire villa,4.75,"Anjuna, Goa",India
"Saligao, Goa, India",False,15.55615,73.78145,Blu Grass 7 Bedroom Holiday Villa near Calangute,14,687,Entire villa,4.75,"Saligao, Goa",India
"Calangute, Goa, India",False,15.54714,73.7644,6BHK PRIVATE POOL BEACH VILLA @ BAGA,14,661,Entire villa,4.75,"Calangute, Goa",India
"Calangute, Goa, India",True,15.535,73.768,Exquisite 9 Bedroom Family Style Mansion with Pool,16,531,Entire home,5.0,"Calangute, Goa",India
"Alappuzha, Kerala, India",False,9.54289,76.35456,The Rain- 3BR Luxiries w/Breakfast and Kayaking,9,515,Private room in villa,4.75,"Alappuzha, Kerala",India
"Achrol, Rajasthan, India",False,27.13538,75.96086,The Foothills Villas -  A nature's home in Aravali,16,722,Farm stay,4.75,"Achrol, Rajasthan",India
"Jaipur, Rajasthan, India",False,27.04744,75.74732,WOOD HEAVEN FARMS,16,601,Farm stay,4.75,"Jaipur, Rajasthan",India
"New Delhi, Delhi, India",False,28.43781,77.18884,Farmhouse with pool for #photo shoot !!!,16,601,Farm stay,4.75,"New Delhi, Delhi",India
"Panchgani, Maharashtra, India",False,17.93,73.804,Estella by Vista Grande,16,595,Entire villa,4.75,"Panchgani, Maharashtra",India
"Udaipur, Rajasthan, India",False,24.5971,73.75547,10-12 person | Pool Villa | Bfast & dinner | BBQ,11,495,Farm stay,4.75,"Udaipur, Rajasthan",India
"Kochi, Kerala, India",False,9.95954,76.23788,"Beachgate Bungalows by CGH Earth, Fort Kochi Beach",6,541,Entire home,5.0,"Kochi, Kerala",India
"Calangute, Goa, India",True,15.535,73.766,Elevate your next Adventure at Villa Calangute Goa,16,502,Entire home,4.75,"Calangute, Goa",India
"Pawas, Maharashtra, India",False,16.87067,73.31219,O'Pearl 9bhk Beach Touch Private villa with pool,16,601,Entire villa,4.75,"Pawas, Maharashtra",India
"Panchgani, Maharashtra, India",False,17.91824,73.80685,Dazzling Hills-Pure Veg Villa by 29Bungalow,15,550,Entire villa,4.75,"Panchgani, Maharashtra",India
"Baga, Goa, India",False,15.56546,73.7483,5BHK Private Pool La Baga Villa at Baga,12,601,Entire villa,4.75,"Baga, Goa",India
"Mahabaleshwar, Maharashtra, India",False,17.92354,73.66923,Private 10 Room Farmhouse - Rare Find Mahablshwar,16,533,Entire villa,4.75,"Mahabaleshwar, Maharashtra",India
"Jaipur, Rajasthan, India",True,26.92538,75.72046,"Executive 4 Rooms, Bath, Cook, Parking,",12,553,Entire villa,4.75,"Jaipur, Rajasthan",India
"Bijainagar, Rajasthan, India",False,25.913,74.591,Bijay Niwas Palace  - A Heritage hotel,15,722,Room in heritage hotel,4.75,"Bijainagar, Rajasthan",India
"Aamwala, Uttarakhand, India",True,30.36688,77.9941,"Div Estate: Wedding Venue (Aamwala, Dehradun)",10,601,Farm stay,4.75,"Aamwala, Uttarakhand",India
"Nerul, Goa, India",False,15.50773,73.80062,11BHK (5+6)LUXURY PRIVATE POOL VILLA near CANDOLIM,16,601,Entire villa,4.75,"Nerul, Goa",India
"Gurugram, Haryana, India",False,28.35522,77.00456,VIDEO SHOOT PACKAGE,16,601,Farm stay,4.75,"Gurugram, Haryana",India
"Mararikulam, Kerala, India",False,9.59906,76.3014,Ninteen People Accomodation at Mararikulam Beach,16,541,Private room in bed and breakfast,4.75,"Mararikulam, Kerala",India
"Alappuzha, Kerala, India",False,9.47909,76.38724,Spice Routes Houseboats - Pepper,4,534,Houseboat,4.75,"Alappuzha, Kerala",India
"Alappuzha, India",False,9.46065,76.39451,Spice Routes Houseboat- Saffron,2,541,Houseboat,4.75,Alappuzha,India
"Calangute, Goa, India",False,15.56914,73.75654,9 Bedroom villa with swimming pool @ Baga River,16,490,Entire villa,4.75,"Calangute, Goa",India
"Chuchot Yakma, India",False,34.08691,77.5807,chomal huts,10,541,Private room in resort,4.75,Chuchot Yakma,India
"Nashik, Maharashtra, India",False,20.07478,73.64144,GP Farm 8BH Villa,16,505,Private room in resort,4.75,"Nashik, Maharashtra",India
"Sangolda, Goa, India",False,15.54225,73.81266,Monforte Villa I by Lohono Stays,8,655,Entire home,4.75,"Sangolda, Goa",India
"Penha de França, Goa, India",False,15.544,73.817,Boohemiaa Greek Villa (With Private Pool),6,593,Entire villa,4.75,"Penha De França, Goa",India
"Kashid, Maharashtra, India",False,18.4396,72.90539,BeachO 8bhk by Unexplora,14,541,Entire bungalow,4.75,"Kashid, Maharashtra",India
